[2024-03-17 01:02:43,157: INFO: 4285290507: Downloading data from https://drive.google.com/file/d/1aoQ4eAjmbVa5IAWCbWB9c017tF3lWtWw/view into file artifacts/data_ingestion/data.zip]
[2024-03-17 01:14:46,619: INFO: 4285290507: Downloaded data from https://drive.google.com/file/d/1aoQ4eAjmbVa5IAWCbWB9c017tF3lWtWw/view into file artifacts/data_ingestion/data.zip]
[2024-03-17 01:40:47,725: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-17 01:40:47,731: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-17 01:40:47,732: INFO: common: created directory at: artifacts]
[2024-03-17 01:40:47,736: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-17 01:40:47,737: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-17 01:44:12,398: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-17 01:45:14,042: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-17 01:45:14,059: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-17 01:45:14,062: INFO: common: created directory at: artifacts]
[2024-03-17 01:45:14,065: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-03-17 01:45:14,790: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-03-17 01:46:00,424: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-17 01:46:00,427: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-17 01:46:00,429: INFO: common: created directory at: artifacts]
[2024-03-17 01:46:00,431: INFO: common: created directory at: artifacts\training]
[2024-03-17 02:03:04,260: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-17 02:03:04,260: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-17 02:03:04,264: INFO: common: created directory at: artifacts]
[2024-03-17 02:03:04,267: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-17 02:03:04,269: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1hQv3j9ByiMhy7ZcitzvrZ1gUTE2mX7fd/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-17 02:05:15,357: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1hQv3j9ByiMhy7ZcitzvrZ1gUTE2mX7fd/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-17 02:05:49,285: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-17 02:05:49,294: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-17 02:05:49,294: INFO: common: created directory at: artifacts]
[2024-03-17 02:05:49,297: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-03-17 02:05:49,892: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-03-17 02:06:19,641: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-17 02:06:19,648: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-17 02:06:19,648: INFO: common: created directory at: artifacts]
[2024-03-17 02:06:19,648: INFO: common: created directory at: artifacts\training]
[2024-03-17 13:48:43,953: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-17 13:48:43,969: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-17 13:48:43,972: INFO: common: created directory at: artifacts]
[2024-03-17 13:48:43,972: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-03-17 13:48:44,701: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-03-17 13:49:16,233: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-17 13:49:16,235: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-17 13:49:16,240: INFO: common: created directory at: artifacts]
[2024-03-17 13:49:16,242: INFO: common: created directory at: artifacts\training]
[2024-04-17 19:51:23,219: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-17 19:51:23,225: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-17 19:51:23,231: INFO: common: created directory at: artifacts]
[2024-04-17 19:51:23,234: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-04-17 19:51:23,985: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-04-19 16:09:59,334: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-19 16:09:59,350: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-19 16:09:59,350: INFO: common: created directory at: artifacts]
[2024-04-19 16:13:39,930: INFO: common: json file saved at: scores.json]
[2024-04-19 16:13:46,321: WARNING: save: Found untraced functions such as _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op while saving (showing 5 of 14). These functions will not be directly callable after loading.]
[2024-04-19 16:13:47,456: INFO: builder_impl: Assets written to: C:\Users\ayanl\AppData\Local\Temp\tmpdb6y4n96\model\data\model\assets]
[2024-04-19 22:58:05,455: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-19 22:58:05,472: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-19 22:58:05,476: INFO: common: created directory at: artifacts]
[2024-04-19 22:58:05,479: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-04-19 22:58:06,256: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-04-19 22:58:31,759: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-19 22:58:31,764: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-19 22:58:31,764: INFO: common: created directory at: artifacts]
[2024-04-19 22:58:31,772: INFO: common: created directory at: artifacts\training]
[2024-04-19 23:17:16,686: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-19 23:17:16,698: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-19 23:17:16,698: INFO: common: created directory at: artifacts]
[2024-04-19 23:17:16,710: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-04-19 23:17:17,329: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-04-19 23:17:39,103: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-19 23:17:39,111: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-19 23:17:39,111: INFO: common: created directory at: artifacts]
[2024-04-19 23:17:39,111: INFO: common: created directory at: artifacts\training]
[2024-04-19 23:33:54,543: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-19 23:33:54,553: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-19 23:33:54,555: INFO: common: created directory at: artifacts]
[2024-04-19 23:33:54,557: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-04-19 23:33:54,951: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-04-19 23:34:14,638: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-19 23:34:14,643: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-19 23:34:14,644: INFO: common: created directory at: artifacts]
[2024-04-19 23:34:14,647: INFO: common: created directory at: artifacts\training]
[2024-04-24 12:43:29,332: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-24 12:43:29,358: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-24 12:43:29,361: INFO: common: created directory at: artifacts]
[2024-04-24 12:43:29,363: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-04-24 12:46:32,453: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-24 12:46:32,461: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-24 12:46:32,461: INFO: common: created directory at: artifacts]
[2024-04-24 12:46:32,469: INFO: common: created directory at: artifacts/prepare_base_model]
